[21:35:39,381] INFO  {CodeInstrumentation} no user defined instrumentation exceptions detected
[00:00:12,326] INFO  {AppComp} <nid:12> Store = [3, 4, 5]
[00:00:12,326] INFO  {AppComp} <nid:12> Removing 1
[00:00:12,326] INFO  {AppComp} <nid:12> Store = [3, 4, 5]
[00:00:12,381] WARN  {CroupierComp} <nid:14,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:13,065] INFO  {AppComp} <nid:2> Removing 1
[00:00:13,065] INFO  {AppComp} <nid:2> Store = [2, 3, 4, 5]
[00:00:13,065] INFO  {AppComp} <nid:2> Removing 2
[00:00:13,065] INFO  {AppComp} <nid:2> Store = [3, 4, 5]
[00:00:13,292] INFO  {AppComp} <nid:11> Removing 3
[00:00:13,292] INFO  {AppComp} <nid:11> Store = [4, 5]
[00:00:13,346] INFO  {GBEBComp} <nid:13> Updating Add History with <nid:11>
[00:00:13,346] INFO  {AppComp} <nid:13> Store = [4]
[00:00:13,346] INFO  {AppComp} <nid:13> Store = [4, 5]
[00:00:13,346] INFO  {AppComp} <nid:13> Removing 1
[00:00:13,346] INFO  {AppComp} <nid:13> Store = [4, 5]
[00:00:13,346] INFO  {AppComp} <nid:13> Removing 2
[00:00:13,346] INFO  {AppComp} <nid:13> Store = [4, 5]
[00:00:13,346] INFO  {AppComp} <nid:13> Removing 4
[00:00:13,346] INFO  {AppComp} <nid:13> Store = [5]
[00:00:13,443] WARN  {CroupierComp} <nid:15,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:14,000] INFO  {AppComp} <nid:1> Removing 3
[00:00:14,000] INFO  {AppComp} <nid:1> Store = [4, 5]
[00:00:14,000] INFO  {AppComp} <nid:1> Removing 4
[00:00:14,000] INFO  {AppComp} <nid:1> Store = [5]
[00:00:14,160] INFO  {AppComp} <nid:3> Removing 3
[00:00:14,160] INFO  {AppComp} <nid:3> Store = [4, 5]
[00:00:14,160] INFO  {AppComp} <nid:3> Removing 4
[00:00:14,160] INFO  {AppComp} <nid:3> Store = [5]
[00:00:14,292] INFO  {AppComp} <nid:5> Removing 3
[00:00:14,292] INFO  {AppComp} <nid:5> Store = [5, 4]
[00:00:14,292] INFO  {AppComp} <nid:5> Removing 4
[00:00:14,292] INFO  {AppComp} <nid:5> Store = [5]
[00:00:14,326] INFO  {AppComp} <nid:12> Removing 3
[00:00:14,326] INFO  {AppComp} <nid:12> Store = [4, 5]
[00:00:14,326] INFO  {AppComp} <nid:12> Removing 4
[00:00:14,326] INFO  {AppComp} <nid:12> Store = [5]
[00:00:14,381] INFO  {GBEBComp} <nid:14> Updating Add History with <nid:11>
[00:00:14,381] INFO  {AppComp} <nid:14> Store = [5]
[00:00:14,381] INFO  {AppComp} <nid:14> Removing 1
[00:00:14,381] INFO  {AppComp} <nid:14> Store = [5]
[00:00:14,381] INFO  {AppComp} <nid:14> Removing 2
[00:00:14,381] INFO  {AppComp} <nid:14> Store = [5]
